time	Variable_CELL_CYTOPLASM_M_MolarConc	Variable_CELL_CYTOPLASM_P0_MolarConc	Variable_CELL_CYTOPLASM_P1_MolarConc	Variable_CELL_CYTOPLASM_P2_MolarConc	Variable_CELL_CYTOPLASM_Pn_MolarConc	
50.456	1.106095552444458e+00	5.079845786094666e-01	3.754107654094696e-01	3.437068462371826e-01	5.899727940559387e-01	
51.04	1.218581676483154e+00	5.261932015419006e-01	3.647148013114929e-01	3.112686574459076e-01	5.286468267440796e-01	
51.608	1.336306452751160e+00	5.536538362503052e-01	3.616919815540314e-01	2.880826592445374e-01	4.796587824821472e-01	
52.177	1.458010673522949e+00	5.894914865493774e-01	3.654375076293945e-01	2.729339599609375e-01	4.420415163040161e-01	
52.746	1.580724239349365e+00	6.325444579124451e-01	3.752278983592987e-01	2.651572227478027e-01	4.157223403453827e-01	
53.445	1.729689359664917e+00	6.937204599380493e-01	3.943502306938171e-01	2.644787132740021e-01	3.979161381721497e-01	
54.289	1.903763055801392e+00	7.776763439178467e-01	4.260441064834595e-01	2.747011184692383e-01	3.953370451927185e-01	
55.133	2.067995309829712e+00	8.702045083045959e-01	4.651225805282593e-01	2.949128448963165e-01	4.103240370750427e-01	
55.977	2.219155550003052e+00	9.690116047859192e-01	5.098479986190796e-01	3.234010636806488e-01	4.398775696754456e-01	
56.822	2.353538751602173e+00	1.071714043617249e+00	5.587712526321411e-01	3.588687777519226e-01	4.815811216831207e-01	
57.848	2.487710475921631e+00	1.197668433189392e+00	6.219580769538879e-01	4.098429679870605e-01	5.458723902702332e-01	
58.874	2.581013202667236e+00	1.318764686584473e+00	6.869060993194580e-01	4.677727222442627e-01	6.223950982093811e-01	
59.9	2.623988628387451e+00	1.426835298538208e+00	7.507916688919067e-01	5.306898355484009e-01	7.083671689033508e-01	
60.926	2.609548091888428e+00	1.512427091598511e+00	8.103328347206116e-01	5.962275862693787e-01	8.006899952888489e-01	
61.916	2.538926362991333e+00	1.564834237098694e+00	8.602551817893982e-01	6.592928171157837e-01	8.923863768577576e-01	
62.873	2.420794725418091e+00	1.580584406852722e+00	8.981481790542603e-01	7.171221375465393e-01	9.795907735824585e-01	
63.817	2.262906789779663e+00	1.558875322341919e+00	9.226518869400024e-01	7.681971788406372e-01	1.060332775115967e+00	
64.761	2.073592424392700e+00	1.499920248985291e+00	9.317823648452759e-01	8.100314140319824e-01	1.131319165229797e+00	
65.706	1.863990783691406e+00	1.407099008560181e+00	9.236331582069397e-01	8.392402529716492e-01	1.187805414199829e+00	
66.65	1.646082878112793e+00	1.287161231040955e+00	8.972532153129578e-01	8.524926304817200e-01	1.224915862083435e+00	
67.595	1.432380676269531e+00	1.149542450904846e+00	8.530214428901672e-01	8.468373417854309e-01	1.237980484962463e+00	
68.531	1.237414717674255e+00	1.006481409072876e+00	7.935455441474915e-01	8.205226063728333e-01	1.223327279090881e+00	
69.415	1.080879926681519e+00	8.755691647529602e-01	7.266213297843933e-01	7.763680815696716e-01	1.182207226753235e+00	
70.23	9.696760177612305e-01	7.657293081283569e-01	6.594609618186951e-01	7.201809287071228e-01	1.120725631713867e+00	
70.994	9.019523262977600e-01	6.775872111320496e-01	5.957265496253967e-01	6.567022800445557e-01	1.044544339179993e+00	
71.713	8.753904104232788e-01	6.107321381568909e-01	5.382255911827087e-01	5.906118750572205e-01	9.594842791557312e-01	
72.387	8.858882784843445e-01	5.642325878143311e-01	4.892960190773010e-01	5.268392562866211e-01	8.721902370452881e-01	
73.019	9.270413517951965e-01	5.355857610702515e-01	4.496073424816132e-01	4.686319231987000e-01	7.876419425010681e-01	
73.627	9.932423830032349e-01	5.219209790229797e-01	4.184880852699280e-01	4.169953465461731e-01	7.079044580459595e-01	
74.232	1.081503629684448e+00	5.215042233467102e-01	3.951956629753113e-01	3.719695508480072e-01	6.335142254829407e-01	
74.838	1.186958909034729e+00	5.335048437118530e-01	3.800543844699860e-01	3.349601030349731e-01	5.673302412033081e-01	
75.429	1.301327705383301e+00	5.561397671699524e-01	3.731168806552887e-01	3.073133230209351e-01	5.128390192985535e-01	
76.015	1.420980930328369e+00	5.879438519477844e-01	3.735038638114929e-01	2.882725000381470e-01	4.700400829315186e-01	
76.6	1.543418169021606e+00	6.278680562973022e-01	3.804656565189362e-01	2.770552039146423e-01	4.386865496635437e-01	
77.185	1.665932297706604e+00	6.747474074363708e-01	3.932275772094727e-01	2.729283273220062e-01	4.184623956680298e-01	
77.959	1.824647903442383e+00	7.455739378929138e-01	4.176215231418610e-01	2.769527435302734e-01	4.074698388576508e-01	
78.889	2.006787300109863e+00	8.415272235870361e-01	4.561413526535034e-01	2.938100397586823e-01	4.149369597434998e-01	
79.802	2.171798706054688e+00	9.440754652023315e-01	5.013742446899414e-01	3.208313286304474e-01	4.405919313430786e-01	
80.715	2.318696498870850e+00	1.051944136619568e+00	5.520243644714355e-01	3.564355075359344e-01	4.811888933181763e-01	
81.628	2.442027091979980e+00	1.161686897277832e+00	6.063597798347473e-01	3.992000520229340e-01	5.341801643371582e-01	
82.752	2.552061080932617e+00	1.292967319488525e+00	6.757437586784363e-01	4.597808718681335e-01	6.133248209953308e-01	
83.875	2.604522466659546e+00	1.410432219505310e+00	7.444642186164856e-01	5.267042517662048e-01	7.043330073356628e-01	
84.978	2.590956449508667e+00	1.500674486160278e+00	8.071553111076355e-01	5.955531001091003e-01	8.012027740478516e-01	
85.967	2.521389484405518e+00	1.551148295402527e+00	8.557562232017517e-01	6.571424603462219e-01	8.907975554466248e-01	
86.929	2.404437541961670e+00	1.565860152244568e+00	8.927822709083557e-01	7.139600515365601e-01	9.765764474868774e-01	
87.878	2.248376607894897e+00	1.543594241142273e+00	9.164280295372009e-01	7.639005780220032e-01	1.055706143379211e+00	
88.827	2.061357975006104e+00	1.484676361083984e+00	9.247909188270569e-01	8.045474886894226e-01	1.124984979629517e+00	
89.776	1.854485511779785e+00	1.392536759376526e+00	9.160154461860657e-01	8.325350880622864e-01	1.179677605628967e+00	
90.726	1.639744758605957e+00	1.273934721946716e+00	8.892194628715515e-01	8.445755839347839e-01	1.214944958686829e+00	
91.675	1.429684638977051e+00	1.138267755508423e+00	8.448644876480103e-01	8.377958536148071e-01	1.226193785667419e+00	
92.611	1.239736676216125e+00	9.983661174774170e-01	7.859675884246826e-01	8.107616305351257e-01	1.210051536560059e+00	
93.494	1.088109850883484e+00	8.707289695739746e-01	7.200823426246643e-01	7.664594054222107e-01	1.168128490447998e+00	
94.312	9.811279773712158e-01	7.636553645133972e-01	6.540642380714417e-01	7.105239629745483e-01	1.106391191482544e+00	
95.078	9.172348380088806e-01	6.779276132583618e-01	5.915446877479553e-01	6.476514935493469e-01	1.030441403388977e+00	
95.8	8.941891193389893e-01	6.133518218994141e-01	5.354228019714355e-01	5.826303362846375e-01	9.462681412696838e-01	
96.476	9.076029062271118e-01	5.688701272010803e-01	4.878926277160645e-01	5.202303528785706e-01	8.603704571723938e-01	
97.111	9.510995745658875e-01	5.419133305549622e-01	4.494554698467255e-01	4.634057879447937e-01	7.773485779762268e-01	
97.725	1.019431352615356e+00	5.297547578811646e-01	4.194287955760956e-01	4.130163490772247e-01	6.990295052528381e-01	
98.339	1.109642624855042e+00	5.308771729469299e-01	3.972456455230713e-01	3.692786991596222e-01	6.261996626853943e-01	
98.952	1.216350317001343e+00	5.444177389144897e-01	3.833060860633850e-01	3.337450921535492e-01	5.620154142379761e-01	
99.549	1.331130743026733e+00	5.684382319450378e-01	3.775389790534973e-01	3.076038956642151e-01	5.097707509994507e-01	
100	1.422195196151733e+00	5.929388999938965e-01	3.780471682548523e-01	2.934039533138275e-01	4.777458310127258e-01	
